Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2021-06-09,342.55435833,306.53779125,330.00978857,338.5967323,372168431.57,4332127856.58
Aave,2021-06-10,339.40613288,305.41262114,339.01024406,310.14837954,244954071.63,3968314481.01
Aave,2021-06-11,315.07769537,281.05563722,310.25112221,285.08174445,250130334.3,3647643402.16
Aave,2021-06-12,288.95290177,266.50943649,285.43814666,278.51403806,251587257.99,3563847177.88
Aave,2021-06-13,317.6083654,267.80128318,278.7386895,317.12916788,327631351.91,4058132278.98
Aave,2021-06-14,336.04014978,309.09031964,316.28481157,317.90136333,335306770.96,4068123033.37
Aave,2021-06-15,326.90090525,308.36694407,319.40059592,319.75729172,352145487.31,4091958380.19
Aave,2021-06-16,313.73855321,287.53115884,311.92821301,290.26850308,192278220.23,3714910783.79
Aave,2021-06-17,305.38852265,285.4597322,290.2963901,292.91462583,146151226.31,3748867972.37
Aave,2021-06-18,293.7846042,253.6112191,293.53391972,264.35209385,229941834.93,3383440911.19
Aave,2021-06-19,270.24330455,255.16786075,265.40468183,256.35608875,148810608.56,3281227060.66
Aave,2021-06-20,277.1895489,242.62119102,255.23715327,273.49936021,242023664.13,3500727704.2
Aave,2021-06-21,275.37700258,206.41473557,272.91656631,212.98946504,406497830.33,2726354239.2
Aave,2021-06-22,222.89176774,171.37597814,212.55765704,205.75170322,589171952.09,2633899991.85
Aave,2021-06-23,229.66437827,198.02488783,206.02714143,214.09076815,399527615.44,2740670233.57
Aave,2021-06-24,217.90640324,193.35413113,207.66013749,210.85982427,256051017.16,2699309497.69
Aave,2021-06-25,214.82974679,185.26866054,211.19505998,187.16875432,256442078.2,2400468190.85
Aave,2021-06-26,193.11671511,176.7812784,187.06783399,186.97187502,224175853.69,2397984006.42
Aave,2021-06-27,202.72034388,183.51706359,187.30900231,202.67640068,250757136.21,2599445021.94
Aave,2021-06-28,232.83439489,200.8225861,202.76131387,226.37249247,340029039.59,2903823686.72
Aave,2021-06-29,252.57564615,226.11815886,226.9977685,236.76587081,374246042.79,3037272383.02
Aave,2021-06-30,252.12111627,220.08141214,238.11912654,250.38549399,363669939.71,3212200185.37
Aave,2021-07-01,251.97441164,227.69141894,250.71043776,231.62636199,330715116.19,2971685384.78
Aave,2021-07-02,234.4839565,215.95153937,230.81411855,233.94843657,256639522.76,3001542331.19
Aave,2021-07-03,265.10734206,228.48520593,234.20847812,259.65522529,385377799.45,3331546057.4
Aave,2021-07-04,289.00112414,248.28549084,259.39942603,277.03879166,427571943.31,3555054096.37
Aave,2021-07-05,317.38723388,263.43388058,277.11053346,307.8290792,793140860.06,3950268561.44
Aave,2021-07-06,346.71478017,307.99752532,307.99752532,316.89850739,988705452.84,4066775915.02
Binance Coin,2017-07-26,0.1090129986405372,0.0992655009031295,0.10589300096035,0.1051379963755607,200395.0,10513800.0
Binance Coin,2017-07-27,0.1084790006279945,0.1008879989385604,0.1051080003380775,0.1077369973063469,344499.0,10773700.0
Binance Coin,2017-07-28,0.1090189963579177,0.1014730036258697,0.107632003724575,0.1040669977664947,342568.0,10406700.0
Binance Coin,2017-07-29,0.1112639978528022,0.1011079996824264,0.1047820001840591,0.1078109964728355,340218.0,10781100.0
